embedding_dim,mapping_rank,approx_feature,approx_feature_group,correlation,absolute_correlation,mapping_note
emb_15,1,A1,qchat_or_age,0.2732232304689853,0.2732232304689853,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_15,2,A5,qchat_or_age,0.24091609447738294,0.24091609447738294,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_15,3,A9,qchat_or_age,0.22029882981143178,0.22029882981143178,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_15,4,A6,qchat_or_age,0.19666038971886793,0.19666038971886793,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_15,5,Ethnicity_White European,demographic_or_submitter,0.17375882737363296,0.17375882737363296,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_43,1,Ethnicity_White European,demographic_or_submitter,-0.213947550705443,0.213947550705443,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_43,2,A6,qchat_or_age,-0.18982880469208058,0.18982880469208058,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_43,3,Ethnicity_middle eastern,demographic_or_submitter,0.17682207368944045,0.17682207368944045,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_43,4,A9,qchat_or_age,-0.15967210779604304,0.15967210779604304,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_43,5,A5,qchat_or_age,-0.15133508461800604,0.15133508461800604,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_21,1,A7,qchat_or_age,0.26769787336201334,0.26769787336201334,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_21,2,A5,qchat_or_age,0.26004799557102526,0.26004799557102526,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_21,3,A1,qchat_or_age,0.22847674395353026,0.22847674395353026,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_21,4,A4,qchat_or_age,0.2275801436686498,0.2275801436686498,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_21,5,A9,qchat_or_age,0.21718719769994485,0.21718719769994485,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
emb_52,1,A6,qchat_or_age,0.21259675145692644,0.21259675145692644,Approximate association only; embedding dimensions do not map one-to-one to clinical variables.
